bear_symbol	bearGeneID	human_symbol	humanGeneID	blastType
ELSPBP1	gene-ELSPBP1	ELSPBP1	gene-ELSPBP1	RBB
EMB	gene-EMB	EMB	gene-EMB	RBB
EMC1	gene-EMC1	EMC1	gene-EMC1	RBB
EMC10	gene-EMC10	EMC10	gene-EMC10	RBB
EMC2	gene-EMC2	EMC2	gene-EMC2	RBB
EMC3	gene-EMC3	EMC3	gene-EMC3	RBB
EMC4	gene-EMC4	EMC4	gene-EMC4	RBB
EMC6	gene-EMC6	EMC6	gene-EMC6	RBB
EMC7	gene-EMC7	EMC7	gene-EMC7	RBB
EMC8	gene-EMC8	EMC8	gene-EMC8	RBB
EMC9	gene-EMC9	EMC9	gene-EMC9	RBB
EMCN	gene-EMCN	EMCN	gene-EMCN	RBB
EME1	gene-EME1	EME1	gene-EME1	RBB
EME2	gene-EME2	EME2	gene-EME2	RBB
EMG1	gene-EMG1	EMG1	gene-EMG1	RBB
EMID1	gene-EMID1	EMID1	gene-EMID1	RBB
EMILIN1	gene-EMILIN1	EMILIN1	gene-EMILIN1	RBB
EMILIN2	gene-EMILIN2	EMILIN2	gene-EMILIN2	RBB
EMILIN3	gene-EMILIN3	EMILIN3	gene-EMILIN3	RBB
EML1	gene-EML1	EML1	gene-EML1	RBB
EML2	gene-EML2	EML2	gene-EML2	RBB
EML3	gene-EML3	EML3	gene-EML3	RBB
EML4	gene-EML4	EML4	gene-EML4	RBB
EML5	gene-EML5	EML5	gene-EML5	RBB
EML6	gene-EML6	EML6	gene-EML6	RBB
EMP1	gene-EMP1	EMP1	gene-EMP1	RBB
EMP2	gene-EMP2	EMP2	gene-EMP2	RBB
EMP3	gene-EMP3	EMP3	gene-EMP3	RBB
EMSY	gene-EMSY	EMSY	gene-EMSY	RBB
EMX1	gene-EMX1	EMX1	gene-EMX1	RBB
EMX2	gene-EMX2	EMX2	gene-EMX2	RBB
EN1	gene-EN1	EN1	gene-EN1	RBB
EN2	gene-EN2	EN2	gene-EN2	RBB
ENAH	gene-ENAH	ENAH	gene-ENAH	RBB
ENAM	gene-ENAM	ENAM	gene-ENAM	RBB
ENC1	gene-ENC1	ENC1	gene-ENC1	RBB
ENDOD1	gene-ENDOD1	ENDOD1	gene-ENDOD1	RBB
ENDOG	gene-ENDOG	ENDOG	gene-ENDOG	RBB
ENDOU	gene-ENDOU	ENDOU	gene-ENDOU	RBB
ENDOV	gene-ENDOV	ENDOV	gene-ENDOV	RBB
ENG	gene-ENG	ENG	gene-ENG	RBB
ENGASE	gene-ENGASE	ENGASE	gene-ENGASE	RBB
ENHO	gene-ENHO	ENHO	gene-ENHO	RBB
ENKD1	gene-ENKD1	ENKD1	gene-ENKD1	RBB
ENKUR	gene-ENKUR	ENKUR	gene-ENKUR	RBB
ENO1	gene-ENO1	ENO1	gene-ENO1	RBB
ENO2	gene-ENO2	ENO2	gene-ENO2	RBB
ENO3	gene-ENO3	ENO3	gene-ENO3	RBB
ENO4	gene-ENO4	ENO4	gene-ENO4	RBB
ENOPH1	gene-ENOPH1	ENOPH1	gene-ENOPH1	RBB
ENOX1	gene-ENOX1	ENOX1	gene-ENOX1	RBB
ENOX2	gene-ENOX2	ENOX2	gene-ENOX2	RBB
ENPEP	gene-ENPEP	ENPEP	gene-ENPEP	RBB
ENPP1	gene-ENPP1	ENPP1	gene-ENPP1	RBB
ENPP2	gene-ENPP2	ENPP2	gene-ENPP2	RBB
ENPP3	gene-ENPP3	ENPP3	gene-ENPP3	RBB
ENPP4	gene-ENPP4	ENPP4	gene-ENPP4	RBB
ENPP5	gene-ENPP5	ENPP5	gene-ENPP5	RBB
ENPP6	gene-ENPP6	ENPP6	gene-ENPP6	RBB
ENPP7	gene-ENPP7	ENPP7	gene-ENPP7	RBB
ENSA	gene-ENSA	ENSA	gene-ENSA	RBB
ENTHD1	gene-ENTHD1	ENTHD1	gene-ENTHD1	RBB
ENTPD1	gene-ENTPD1	ENTPD1	gene-ENTPD1	RBB
ENTPD2	gene-ENTPD2	ENTPD2	gene-ENTPD2	RBB
ENTPD3	gene-ENTPD3	ENTPD3	gene-ENTPD3	RBB
ENTPD4	gene-ENTPD4	ENTPD4	gene-ENTPD4	RBB
ENTPD5	gene-ENTPD5	ENTPD5	gene-ENTPD5	RBB
ENTPD7	gene-ENTPD7	ENTPD7	gene-ENTPD7	RBB
ENTPD8	gene-ENTPD8	ENTPD8	gene-ENTPD8	RBB
ENTR1	gene-ENTR1	ENTR1	gene-ENTR1	RBB
ENTREP1	gene-ENTREP1	ENTREP1	gene-ENTREP1	RBB
ENTREP2	gene-ENTREP2	ENTREP2	gene-ENTREP2	RBB
ENTREP3	gene-ENTREP3	ENTREP3	gene-ENTREP3	RBB
ENY2	gene-ENY2	ENY2	gene-ENY2	RBB
EOGT	gene-EOGT	EOGT	gene-EOGT	RBB
EOLA2	gene-EOLA2	EOLA2	gene-EOLA2	RBB
EOMES	gene-EOMES	EOMES	gene-EOMES	RBB
EP300	gene-EP300	EP300	gene-EP300	RBB
EP400	gene-EP400	EP400	gene-EP400	RBB
EPAS1	gene-EPAS1	EPAS1	gene-EPAS1	RBB
EPB41	gene-EPB41	EPB41	gene-EPB41	RBB
EPB41L1	gene-EPB41L1	EPB41L1	gene-EPB41L1	RBB
EPB41L2	gene-EPB41L2	EPB41L2	gene-EPB41L2	RBB
EPB41L3	gene-EPB41L3	EPB41L3	gene-EPB41L3	RBB
EPB41L4A	gene-EPB41L4A	EPB41L4A	gene-EPB41L4A	RBB
EPB41L4B	gene-EPB41L4B	EPB41L4B	gene-EPB41L4B	RBB
EPB41L5	gene-EPB41L5	EPB41L5	gene-EPB41L5	RBB
EPB42	gene-EPB42	EPB42	gene-EPB42	RBB
EPC1	gene-EPC1	EPC1	gene-EPC1	RBB
EPC2	gene-EPC2	EPC2	gene-EPC2	RBB
EPCAM	gene-EPCAM	EPCAM	gene-EPCAM	RBB
EPDR1	gene-EPDR1	EPDR1	gene-EPDR1	RBB
EPG5	gene-EPG5	EPG5	gene-EPG5	RBB
EPGN	gene-EPGN	EPGN	gene-EPGN	RBB
EPHA1	gene-EPHA1	EPHA1	gene-EPHA1	RBB
EPHA10	gene-EPHA10	EPHA10	gene-EPHA10	RBB
EPHA2	gene-EPHA2	EPHA2	gene-EPHA2	RBB
EPHA3	gene-EPHA3	EPHA3	gene-EPHA3	RBB
EPHA4	gene-EPHA4	EPHA4	gene-EPHA4	RBB
EPHA5	gene-EPHA5	EPHA5	gene-EPHA5	RBB
EPHA6	gene-EPHA6	EPHA6	gene-EPHA6	RBB
EPHA7	gene-EPHA7	EPHA7	gene-EPHA7	RBB
EPHA8	gene-EPHA8	EPHA8	gene-EPHA8	RBB
EPHB1	gene-EPHB1	EPHB1	gene-EPHB1	RBB
EPHB2	gene-EPHB2	EPHB2	gene-EPHB2	RBB
EPHB3	gene-EPHB3	EPHB3	gene-EPHB3	RBB
EPHB4	gene-EPHB4	EPHB4	gene-EPHB4	RBB
EPHB6	gene-EPHB6	EPHB6	gene-EPHB6	RBB
EPHX1	gene-EPHX1	EPHX1	gene-EPHX1	RBB
EPHX2	gene-EPHX2	EPHX2	gene-EPHX2	RBB
EPHX3	gene-EPHX3	EPHX3	gene-EPHX3	RBB
EPHX4	gene-EPHX4	EPHX4	gene-EPHX4	RBB
EPM2A	gene-EPM2A	EPM2A	gene-EPM2A	RBB
EPM2AIP1	gene-EPM2AIP1	EPM2AIP1	gene-EPM2AIP1	RBB
EPN1	gene-EPN1	EPN1	gene-EPN1	RBB
EPN2	gene-EPN2	EPN2	gene-EPN2	RBB
EPN3	gene-EPN3	EPN3	gene-EPN3	RBB
EPO	gene-EPO	EPO	gene-EPO	RBB
EPOP	gene-EPOP	EPOP	gene-EPOP	RBB
EPOR	gene-EPOR	EPOR	gene-EPOR	RBB
EPPK1	gene-EPPK1	EPPK1	gene-EPPK1	OBB
EPRS1	gene-EPRS1	EPRS1	gene-EPRS1	RBB
EPS15	gene-EPS15	EPS15	gene-EPS15	RBB
EPS15L1	gene-EPS15L1	EPS15L1	gene-EPS15L1	RBB
EPS8	gene-EPS8	EPS8	gene-EPS8	RBB
EPS8L1	gene-EPS8L1	EPS8L1	gene-EPS8L1	RBB
EPS8L2	gene-EPS8L2	EPS8L2	gene-EPS8L2	RBB
EPS8L3	gene-EPS8L3	EPS8L3	gene-EPS8L3	RBB
EPSTI1	gene-EPSTI1	EPSTI1	gene-EPSTI1	RBB
EPX	gene-EPX	EPX	gene-EPX	RBB
EPYC	gene-EPYC	EPYC	gene-EPYC	RBB
EQTN	gene-EQTN	LOC124902048	gene-LOC124902048	RBB
ERAL1	gene-ERAL1	ERAL1	gene-ERAL1	RBB
ERAP1	gene-ERAP1	ERAP1	gene-ERAP1	RBB
ERAP2	gene-ERAP2	ERAP2	gene-ERAP2	RBB
ERAS	gene-ERAS	ERAS	gene-ERAS	RBB
ERBB2	gene-ERBB2	ERBB2	gene-ERBB2	RBB
ERBB3	gene-ERBB3	ERBB3	gene-ERBB3	RBB
ERBB4	gene-ERBB4	ERBB4	gene-ERBB4	RBB
ERBIN	gene-ERBIN	ERBIN	gene-ERBIN	RBB
ERC1	gene-ERC1	ERC1	gene-ERC1	RBB
ERC2	gene-ERC2	ERC2	gene-ERC2	RBB
ERCC1	gene-ERCC1	ERCC1	gene-ERCC1	RBB
ERCC2	gene-ERCC2	ERCC2	gene-ERCC2	RBB
ERCC3	gene-ERCC3	ERCC3	gene-ERCC3	RBB
ERCC4	gene-ERCC4	ERCC4	gene-ERCC4	RBB
ERCC6	gene-ERCC6	ERCC6	gene-ERCC6	RBB
ERCC6L	gene-ERCC6L	ERCC6L	gene-ERCC6L	RBB
ERCC6L2	gene-ERCC6L2	ERCC6L2	gene-ERCC6L2	RBB
ERCC8	gene-ERCC8	ERCC8	gene-ERCC8	RBB
EREG	gene-EREG	EREG	gene-EREG	RBB
ERF	gene-ERF	ERF	gene-ERF	RBB
ERFE	gene-ERFE	ERFE	gene-ERFE	RBB
ERFL	gene-ERFL	ERFL	gene-ERFL	RBB
ERG	gene-ERG	ERG	gene-ERG	RBB
ERG28	gene-ERG28	ERG28	gene-ERG28	RBB
ERGIC1	gene-ERGIC1	ERGIC1	gene-ERGIC1	RBB
ERGIC2	gene-ERGIC2	ERGIC2	gene-ERGIC2	RBB
ERGIC3	gene-ERGIC3	ERGIC3	gene-ERGIC3	RBB
ERH	gene-ERH	ERH	gene-ERH	OBB
ERI1	gene-ERI1	ERI1	gene-ERI1	RBB
ERI2	gene-ERI2	ERI2	gene-ERI2	OBB
ERI3	gene-ERI3	ERI3	gene-ERI3	RBB
ERICH1	gene-ERICH1	ERICH1	gene-ERICH1	RBB
ERICH2	gene-ERICH2	ERICH2	gene-ERICH2	RBB
ERICH3	gene-ERICH3	ERICH3	gene-ERICH3	RBB
ERICH4	gene-ERICH4	ERICH4	gene-ERICH4	RBB
ERICH5	gene-ERICH5	ERICH5	gene-ERICH5	RBB
ERICH6	gene-ERICH6	ERICH6	gene-ERICH6	RBB
ERLEC1	gene-ERLEC1	ERLEC1	gene-ERLEC1	RBB
ERLIN1	gene-ERLIN1	ERLIN1	gene-ERLIN1	RBB
ERLIN2	gene-ERLIN2	ERLIN2	gene-ERLIN2	RBB
ERMAP	gene-ERMAP	ERMAP	gene-ERMAP	RBB
ERMARD	gene-ERMARD	ERMARD	gene-ERMARD	RBB
ERMN	gene-ERMN	ERMN	gene-ERMN	RBB
ERMP1	gene-ERMP1	ERMP1	gene-ERMP1	RBB
ERN1	gene-ERN1	ERN1	gene-ERN1	RBB
ERN2	gene-ERN2	ERN2	gene-ERN2	RBB
ERO1A	gene-ERO1A	ERO1A	gene-ERO1A	RBB
ERO1B	gene-ERO1B	ERO1B	gene-ERO1B	RBB
ERP27	gene-ERP27	ERP27	gene-ERP27	RBB
ERP29	gene-ERP29	ERP29	gene-ERP29	RBB
ERP44	gene-ERP44	ERP44	gene-ERP44	RBB
ERRFI1	gene-ERRFI1	ERRFI1	gene-ERRFI1	RBB
ERVW-1	gene-ERVW-1	ERVW-1	gene-ERVW-1	RBB
ESAM	gene-ESAM	ESAM	gene-ESAM	RBB
ESCO1	gene-ESCO1	ESCO1	gene-ESCO1	RBB
ESCO2	gene-ESCO2	ESCO2	gene-ESCO2	RBB
ESD	gene-ESD	ESD	gene-ESD	RBB
ESF1	gene-ESF1	ESF1	gene-ESF1	RBB
ESM1	gene-ESM1	ESM1	gene-ESM1	RBB
ESPN	gene-ESPN	ESPN	gene-ESPN	RBB
ESPNL	gene-ESPNL	ESPNL	gene-ESPNL	RBB
ESR1	gene-ESR1	ESR1	gene-ESR1	RBB
ESR2	gene-ESR2	ESR2	gene-ESR2	RBB
ESRP1	gene-ESRP1	ESRP1	gene-ESRP1	RBB
ESRP2	gene-ESRP2	ESRP2	gene-ESRP2	RBB
ESRRA	gene-ESRRA	ESRRA	gene-ESRRA	RBB
ESRRB	gene-ESRRB	ESRRB	gene-ESRRB	RBB
ESRRG	gene-ESRRG	ESRRG	gene-ESRRG	RBB
ESS2	gene-ESS2	ESS2	gene-ESS2	RBB
ESX1	gene-ESX1	ESX1	gene-ESX1	RBB
ESYT1	gene-ESYT1	ESYT1	gene-ESYT1	RBB
ESYT2	gene-ESYT2	ESYT2	gene-ESYT2	RBB
ESYT3	gene-ESYT3	ESYT3	gene-ESYT3	RBB
ETAA1	gene-ETAA1	ETAA1	gene-ETAA1	RBB
ETF1	gene-ETF1	ETF1	gene-ETF1	RBB
ETFA	gene-ETFA	ETFA	gene-ETFA	RBB
ETFB	gene-ETFB	ETFB	gene-ETFB	RBB
ETFBKMT	gene-ETFBKMT	ETFBKMT	gene-ETFBKMT	RBB
ETFDH	gene-ETFDH	ETFDH	gene-ETFDH	RBB
ETFRF1	gene-ETFRF1	ETFRF1	gene-ETFRF1	RBB
ETHE1	gene-ETHE1	ETHE1	gene-ETHE1	RBB
ETNK1	gene-ETNK1	ETNK1	gene-ETNK1	RBB
ETNPPL	gene-ETNPPL	ETNPPL	gene-ETNPPL	RBB
ETS1	gene-ETS1	ETS1	gene-ETS1	RBB
ETS2	gene-ETS2	ETS2	gene-ETS2	RBB
ETV1	gene-ETV1	ETV1	gene-ETV1	RBB
ETV2	gene-ETV2	ETV2	gene-ETV2	RBB
ETV3	gene-ETV3	ETV3	gene-ETV3	RBB
ETV3L	gene-ETV3L	ETV3L	gene-ETV3L	RBB
ETV4	gene-ETV4	ETV4	gene-ETV4	RBB
ETV5	gene-ETV5	ETV5	gene-ETV5	RBB
ETV6	gene-ETV6	ETV6	gene-ETV6	RBB
ETV7	gene-ETV7	ETV7	gene-ETV7	RBB
EVA1B	gene-EVA1B	EVA1B	gene-EVA1B	RBB
EVA1C	gene-EVA1C	EVA1C	gene-EVA1C	RBB
EVC	gene-EVC	EVC	gene-EVC	RBB
EVC2	gene-EVC2	EVC2	gene-EVC2	RBB
EVI2A	gene-EVI2A	EVI2A	gene-EVI2A	RBB
EVI2B	gene-EVI2B	EVI2B	gene-EVI2B	RBB
EVI5	gene-EVI5	EVI5	gene-EVI5	RBB
EVI5L	gene-EVI5L	EVI5L	gene-EVI5L	RBB
EVL	gene-EVL	EVL	gene-EVL	RBB
EVPL	gene-EVPL	EVPL	gene-EVPL	RBB
EVX1	gene-EVX1	EVX1	gene-EVX1	RBB
EVX2	gene-EVX2	EVX2	gene-EVX2	RBB
EWSR1	gene-EWSR1	EWSR1	gene-EWSR1	RBB
EXD1	gene-EXD1	EXD1	gene-EXD1	RBB
EXD2	gene-EXD2	EXD2	gene-EXD2	RBB
EXD3	gene-EXD3	EXD3	gene-EXD3	RBB
EXO1	gene-EXO1	EXO1	gene-EXO1	RBB
EXO5	gene-EXO5	EXO5	gene-EXO5	RBB
EXOC1	gene-EXOC1	EXOC1	gene-EXOC1	RBB
EXOC1L	gene-EXOC1L	EXOC1L	gene-EXOC1L	RBB
EXOC2	gene-EXOC2	EXOC2	gene-EXOC2	RBB
EXOC3	gene-EXOC3	EXOC3	gene-EXOC3	RBB
EXOC3L1	gene-EXOC3L1	EXOC3L1	gene-EXOC3L1	RBB
EXOC3L2	gene-EXOC3L2	EXOC3L2	gene-EXOC3L2	RBB
EXOC3L4	gene-EXOC3L4	EXOC3L4	gene-EXOC3L4	RBB
EXOC4	gene-EXOC4	EXOC4	gene-EXOC4	RBB
EXOC5	gene-EXOC5	EXOC5	gene-EXOC5	RBB
EXOC6	gene-EXOC6	EXOC6	gene-EXOC6	RBB
EXOC6B	gene-EXOC6B	EXOC6B	gene-EXOC6B	RBB
EXOC7	gene-EXOC7	EXOC7	gene-EXOC7	RBB
EXOC8	gene-EXOC8	EXOC8	gene-EXOC8	OBB
EXOG	gene-EXOG	EXOG	gene-EXOG	RBB
EXOSC1	gene-EXOSC1	EXOSC1	gene-EXOSC1	RBB
EXOSC10	gene-EXOSC10	EXOSC10	gene-EXOSC10	RBB
EXOSC2	gene-EXOSC2	EXOSC2	gene-EXOSC2	RBB
EXOSC3	gene-EXOSC3	EXOSC3	gene-EXOSC3	RBB
EXOSC4	gene-EXOSC4	EXOSC4	gene-EXOSC4	RBB
EXOSC5	gene-EXOSC5	EXOSC5	gene-EXOSC5	RBB
EXOSC6	gene-EXOSC6	EXOSC6	gene-EXOSC6	RBB
EXOSC7	gene-EXOSC7	EXOSC7	gene-EXOSC7	RBB
EXOSC8	gene-EXOSC8	EXOSC8	gene-EXOSC8	RBB
EXOSC9	gene-EXOSC9	EXOSC9	gene-EXOSC9	RBB
EXPH5	gene-EXPH5	EXPH5	gene-EXPH5	RBB
EXT1	gene-EXT1	EXT1	gene-EXT1	RBB
EXTL1	gene-EXTL1	EXTL1	gene-EXTL1	RBB
EXTL2	gene-EXTL2	EXTL2	gene-EXTL2	RBB
EXTL3	gene-EXTL3	EXTL3	gene-EXTL3	RBB
EYA1	gene-EYA1	EYA1	gene-EYA1	RBB
EYA2	gene-EYA2	EYA2	gene-EYA2	RBB
EYA3	gene-EYA3	EYA3	gene-EYA3	RBB
EYA4	gene-EYA4	EYA4	gene-EYA4	RBB
EYS	gene-EYS	EYS	gene-EYS	RBB
EZH1	gene-EZH1	EZH1	gene-EZH1	RBB
EZH2	gene-EZH2	EZH2	gene-EZH2	RBB
EZHIP	gene-EZHIP	EZHIP	gene-EZHIP	RBB
EZR	gene-EZR	EZR	gene-EZR	RBB
F10	gene-F10	F10	gene-F10	RBB
F11	gene-F11	F11	gene-F11	RBB
F11R	gene-F11R	F11R	gene-F11R	RBB
F12	gene-F12	F12	gene-F12	RBB
F13A1	gene-F13A1	F13A1	gene-F13A1	RBB
F13B	gene-F13B	F13B	gene-F13B	RBB
F2	gene-F2	F2	gene-F2	RBB
F2R	gene-F2R	F2R	gene-F2R	RBB
F2RL1	gene-F2RL1	F2RL1	gene-F2RL1	RBB
F2RL2	gene-F2RL2	F2RL2	gene-F2RL2	RBB
F2RL3	gene-F2RL3	F2RL3	gene-F2RL3	RBB
F3	gene-F3	F3	gene-F3	RBB
F5	gene-F5	F5	gene-F5	RBB
F7	gene-F7	F7	gene-F7	RBB
F9	gene-F9	F9	gene-F9	RBB
FA2H	gene-FA2H	FA2H	gene-FA2H	RBB
FAAP100	gene-FAAP100	FAAP100	gene-FAAP100	RBB
FAAP20	gene-FAAP20	FAAP20	gene-FAAP20	RBB
FAAP24	gene-FAAP24	FAAP24	gene-FAAP24	RBB
FABP1	gene-FABP1	FABP1	gene-FABP1	RBB
FABP12	gene-FABP12	FABP12	gene-FABP12	RBB
FABP2	gene-FABP2	FABP2	gene-FABP2	RBB
FABP3	gene-FABP3	FABP3	gene-FABP3	RBB
FABP4	gene-FABP4	FABP4	gene-FABP4	RBB
FABP5	gene-FABP5	FABP5	gene-FABP5	RBB
FABP6	gene-FABP6	FABP6	gene-FABP6	RBB
FABP7	gene-FABP7	FABP7	gene-FABP7	RBB
FADD	gene-FADD	FADD	gene-FADD	RBB
FADS1	gene-FADS1	FADS1	gene-FADS1	RBB
FADS2	gene-FADS2	FADS2	gene-FADS2	RBB
FADS3	gene-FADS3	FADS3	gene-FADS3	RBB
FADS6	gene-FADS6	FADS6	gene-FADS6	RBB
FAF1	gene-FAF1	FAF1	gene-FAF1	RBB
FAF2	gene-FAF2	FAF2	gene-FAF2	RBB
FAH	gene-FAH	FAH	gene-FAH	RBB
FAHD1	gene-FAHD1	FAHD1	gene-FAHD1	RBB
FAIM	gene-FAIM	FAIM	gene-FAIM	RBB
FAIM2	gene-FAIM2	FAIM2	gene-FAIM2	RBB
FAM104A	gene-FAM104A	VCF1	gene-VCF1	RBB
FAM107A	gene-FAM107A	FAM107A	gene-FAM107A	RBB
FAM107B	gene-FAM107B	FAM107B	gene-FAM107B	RBB
FAM110A	gene-FAM110A	FAM110A	gene-FAM110A	RBB
FAM110B	gene-FAM110B	FAM110B	gene-FAM110B	RBB
FAM110C	gene-FAM110C	FAM110C	gene-FAM110C	RBB
FAM110D	gene-FAM110D	FAM110D	gene-FAM110D	RBB
FAM111A	gene-FAM111A	FAM111A	gene-FAM111A	RBB
FAM111B	gene-FAM111B	FAM111B	gene-FAM111B	RBB
FAM114A1	gene-FAM114A1	FAM114A1	gene-FAM114A1	RBB
FAM114A2	gene-FAM114A2	FAM114A2	gene-FAM114A2	RBB
FAM117A	gene-FAM117A	FAM117A	gene-FAM117A	RBB
FAM117B	gene-FAM117B	FAM117B	gene-FAM117B	RBB
FAM118B	gene-FAM118B	FAM118B	gene-FAM118B	RBB
FAM120A	gene-FAM120A	FAM120A	gene-FAM120A	RBB
FAM120B	gene-FAM120B	FAM120B	gene-FAM120B	RBB
FAM120C	gene-FAM120C	FAM120C	gene-FAM120C	RBB
FAM124A	gene-FAM124A	FAM124A	gene-FAM124A	RBB
FAM124B	gene-FAM124B	FAM124B	gene-FAM124B	RBB
FAM131A	gene-FAM131A	FAM131A	gene-FAM131A	RBB
FAM131B	gene-FAM131B	FAM131B	gene-FAM131B	RBB
FAM131C	gene-FAM131C	FAM131C	gene-FAM131C	RBB
FAM133A	gene-FAM133A	FAM133A	gene-FAM133A	RBB
FAM133B	gene-FAM133B	FAM133B	gene-FAM133B	RBB
FAM135A	gene-FAM135A	FAM135A	gene-FAM135A	RBB
FAM135B	gene-FAM135B	FAM135B	gene-FAM135B	RBB
FAM136A	gene-FAM136A	FAM136A	gene-FAM136A	RBB
FAM13A	gene-FAM13A	FAM13A	gene-FAM13A	RBB
FAM13B	gene-FAM13B	FAM13B	gene-FAM13B	RBB
FAM13C	gene-FAM13C	FAM13C	gene-FAM13C	RBB
FAM149A	gene-FAM149A	FAM149A	gene-FAM149A	RBB
FAM149B1	gene-FAM149B1	FAM149B1	gene-FAM149B1	RBB
FAM151A	gene-FAM151A	FAM151A	gene-FAM151A	RBB
FAM151B	gene-FAM151B	FAM151B	gene-FAM151B	RBB
FAM161A	gene-FAM161A	FAM161A	gene-FAM161A	RBB
FAM161B	gene-FAM161B	FAM161B	gene-FAM161B	RBB
FAM162A	gene-FAM162A	FAM162A	gene-FAM162A	RBB
FAM162B	gene-FAM162B	FAM162B	gene-FAM162B	RBB
FAM163A	gene-FAM163A	FAM163A	gene-FAM163A	RBB
FAM163B	gene-FAM163B	FAM163B	gene-FAM163B	RBB
FAM167A	gene-FAM167A	FAM167A	gene-FAM167A-2	RBB
FAM167B	gene-FAM167B	FAM167B	gene-FAM167B	RBB
FAM168A	gene-FAM168A	FAM168A	gene-FAM168A	RBB
FAM168B	gene-FAM168B	FAM168B	gene-FAM168B	RBB
FAM169A	gene-FAM169A	FAM169A	gene-FAM169A	RBB
FAM170A	gene-FAM170A	FAM170A	gene-FAM170A	RBB
FAM170B	gene-FAM170B	FAM170B	gene-FAM170B	RBB
FAM171A1	gene-FAM171A1	FAM171A1	gene-FAM171A1	RBB
FAM171A2	gene-FAM171A2	FAM171A2	gene-FAM171A2	RBB
FAM171B	gene-FAM171B	FAM171B	gene-FAM171B	RBB
FAM172A	gene-FAM172A	ARB2A	gene-ARB2A	RBB
FAM174A	gene-FAM174A	FAM174A	gene-FAM174A	RBB
FAM174B	gene-FAM174B	FAM174B	gene-FAM174B	RBB
FAM177B	gene-FAM177B	FAM177B	gene-FAM177B	RBB
FAM180A	gene-FAM180A	FAM180A	gene-FAM180A	RBB
FAM180B	gene-FAM180B	FAM180B	gene-FAM180B	RBB
FAM181A	gene-FAM181A	FAM181A	gene-FAM181A	RBB
FAM181B	gene-FAM181B	FAM181B	gene-FAM181B	RBB
FAM184A	gene-FAM184A	FAM184A	gene-FAM184A	RBB
FAM184B	gene-FAM184B	FAM184B	gene-FAM184B	RBB
FAM185A	gene-FAM185A	FAM185A	gene-FAM185A	RBB
FAM186A	gene-FAM186A	FAM186A	gene-FAM186A	RBB
FAM186B	gene-FAM186B	FAM186B	gene-FAM186B	RBB
FAM187A	gene-FAM187A	FAM187A	gene-FAM187A	RBB
FAM193B	gene-FAM193B	FAM193B	gene-FAM193B	RBB
FAM199X	gene-FAM199X	FAM199X	gene-FAM199X	RBB
FAM200A	gene-FAM200A	FAM200A	gene-FAM200A	RBB
FAM200B	gene-FAM200B	FAM200B	gene-FAM200B	RBB
FAM200C	gene-FAM200C	FAM200C	gene-FAM200C	RBB
FAM204A	gene-FAM204A	FAM204A	gene-FAM204A	RBB
FAM20A	gene-FAM20A	FAM20A	gene-FAM20A	RBB
FAM20B	gene-FAM20B	FAM20B	gene-FAM20B	RBB
FAM20C	gene-FAM20C	FAM20C	gene-FAM20C	RBB
FAM210A	gene-FAM210A	FAM210A	gene-FAM210A	RBB
FAM210B	gene-FAM210B	FAM210B	gene-FAM210B	RBB
FAM216A	gene-FAM216A	FAM216A	gene-FAM216A	RBB
FAM216B	gene-FAM216B	FAM216B	gene-FAM216B	RBB
FAM217A	gene-FAM217A	FAM217A	gene-FAM217A	RBB
FAM217B	gene-FAM217B	FAM217B	gene-FAM217B	RBB
FAM219A	gene-FAM219A	FAM219A	gene-FAM219A	RBB
FAM219B	gene-FAM219B	FAM219B	gene-FAM219B	RBB
FAM220A	gene-FAM220A	FAM220A	gene-FAM220A	RBB
FAM221A	gene-FAM221A	FAM221A	gene-FAM221A	RBB
FAM221B	gene-FAM221B	FAM221B	gene-FAM221B	RBB
FAM222A	gene-FAM222A	FAM222A	gene-FAM222A	RBB
FAM222B	gene-FAM222B	FAM222B	gene-FAM222B	RBB
FAM227A	gene-FAM227A	FAM227A	gene-FAM227A	RBB
FAM227B	gene-FAM227B	FAM227B	gene-FAM227B	RBB
FAM229A	gene-FAM229A	FAM229A	gene-FAM229A	RBB
FAM234A	gene-FAM234A	FAM234A	gene-FAM234A	RBB
FAM234B	gene-FAM234B	FAM234B	gene-FAM234B	RBB
FAM237A	gene-FAM237A	FAM237A	gene-FAM237A	RBB
FAM240A	gene-FAM240A	FAM240A	gene-FAM240A	RBB
FAM240B	gene-FAM240B	FAM240B	gene-FAM240B	RBB
FAM240C	gene-FAM240C	FAM240C	gene-FAM240C	RBB
FAM241A	gene-FAM241A	FAM241A	gene-FAM241A	RBB
FAM241B	gene-FAM241B	FAM241B	gene-FAM241B	RBB
FAM24B	gene-FAM24B	FAM24A	gene-FAM24A	RBB
FAM25A	gene-FAM25A	FAM25A	gene-FAM25A	RBB
FAM32A	gene-FAM32A	FAM32A	gene-FAM32A	RBB
FAM3C	gene-FAM3C	FAM3C	gene-FAM3C	RBB
FAM3D	gene-FAM3D	FAM3D	gene-FAM3D	RBB
FAM43A	gene-FAM43A	FAM43A	gene-FAM43A	RBB
FAM43B	gene-FAM43B	FAM43B	gene-FAM43B	RBB
FAM47E	gene-FAM47E	FAM47E	gene-FAM47E	RBB
FAM50B	gene-FAM50B	FAM50B	gene-FAM50B	RBB
